tävling,datum,typ,vikt,böj,bänk,mark,total,poäng,namn,förening,distrikt,kön,år,viktklass,elit
DM i bänkpress (klassisk) Västra Götaland SDF,2014-09-20,KBP,54.6,0.0,60.0,0.0,60.0,72.01,Jannica Hetle,Mascot Atletklubb,Västra Götaland SDF,F,2014.0,57,False
SM KLBP 2014,2014-07-06,KBP,55.25,0.0,65.0,0.0,65.0,77.29,Jannica Hetle,Mascot Atletklubb,Västra Götaland SDF,F,2014.0,57,True
Allsvenskan dam KL BP,2014-05-24,KBP,54.55,0.0,65.0,0.0,65.0,78.07,Jannica Hetle,Mascot Atletklubb,Västra Götaland SDF,F,2014.0,57,False
Allsvenskan dam KL SL,2014-02-02,KSL,55.25,85.0,60.0,120.0,265.0,315.11,Jannica Hetle,Mascot Atletklubb,Västra Götaland SDF,F,2014.0,57,False
DM KLSL Västra Götaland,2013-11-02,KSL,55.2,80.0,60.0,100.0,240.0,285.59,Jannica Hetle,Mascot Atletklubb,Västra Götaland SDF,F,2013.0,57,False
DM KLBP Västra Götaland,2013-09-28,KBP,55.35,0.0,60.0,0.0,60.0,71.25,Jannica Hetle,Mascot Atletklubb,Västra Götaland SDF,F,2013.0,57,False
SM Klassisk Styrkelyft,2013-07-04,KSL,51.75,70.0,60.0,80.0,210.0,262.77,Jannica Hetle,Mascot Atletklubb,Västra Götaland SDF,F,2013.0,52,True
Enbart ranking klassisk SL,2013-05-12,KSL,51.7,70.0,55.0,100.0,225.0,281.75,Jannica Hetle,Mascot Atletklubb,Västra Götaland SDF,F,2013.0,52,False
Klassisk damserie SL,2012-11-11,KSL,50.86,60.0,52.5,85.0,197.5,250.44,Jannica Hetle,Mascot Atletklubb,Västra Götaland SDF,F,2012.0,52,False
DM KLBP Västra Götaland,2012-10-13,KBP,50.65,0.0,52.5,0.0,52.5,66.78,Jannica Hetle,Mascot Atletklubb,Västra Götaland SDF,F,2012.0,52,False
Klassisk ranking SL,2012-09-01,KSL,50.95,65.0,50.0,82.5,197.5,250.1,Jannica Hetle,Mascot Atletklubb,Västra Götaland SDF,F,2012.0,52,False
u/j/v-SM Bänkpress (klassisk),2016-11-25,KBP,91.0,0.0,120.0,0.0,120.0,76.18,Kay Glans,Stockholms AK,Östra Svealands SDF,M,2016.0,93,True
Enbart ranking KL BP herr,2016-09-25,KBP,91.75,0.0,125.0,0.0,125.0,79.04,Kay Glans,Stockholms AK,Östra Svealands SDF,M,2016.0,93,False
Div 2 KL SL,2016-05-21,KSL,91.3,150.0,120.0,200.0,470.0,297.9,Kay Glans,Stockholms AK,Östra Svealands SDF,M,2016.0,93,False
Div 2 KL SL,2016-02-06,KSL,90.5,150.0,122.5,200.0,472.5,300.8,Kay Glans,Stockholms AK,Östra Svealands SDF,M,2016.0,93,False
Elitserien klassisk SL,2013-11-10,KSL,92.35,155.0,117.5,200.0,472.5,297.82,Kay Glans,Stockholms AK,Östra Svealands SDF,M,2013.0,93,False
Elitserien klassisk SL,2013-05-04,KSL,92.15,150.0,120.0,210.0,480.0,302.86,Kay Glans,Stockholms AK,Östra Svealands SDF,M,2013.0,93,False
Klassisk serie SL mitt,2012-09-09,KSL,82.85,130.0,110.0,180.0,420.0,280.65,Kay Glans,Stockholms AK,Östra Svealands SDF,M,2012.0,83,False
Div 1 klassisk SL,2013-01-20,KSL,104.95,190.0,115.0,200.0,505.0,301.82,Patrik Olsson,Bollnäs SK,Södra Norrlands SDF,M,2013.0,105,False
Klassisk ranking SL,2012-09-02,KSL,103.67,170.0,107.5,180.0,457.5,274.63,Patrik Olsson,Bollnäs SK,Södra Norrlands SDF,M,2012.0,105,False
DM i styrkelyft (klassisk) Södra Norrlands SDF,2014-11-01,KSL,104.55,243.5,172.5,300.0,716.0,428.5,Per Skommar,Borlänge AK,Södra Norrlands SDF,M,2014.0,105,False
SM KLBP 2014,2014-07-06,KBP,104.36,0.0,167.5,0.0,167.5,100.31,Per Skommar,Borlänge AK,Södra Norrlands SDF,M,2014.0,105,True
Enbart ranking KL SL herr,2014-05-17,KSL,104.05,242.5,170.0,285.0,697.5,418.14,Per Skommar,Borlänge AK,Södra Norrlands SDF,M,2014.0,105,False
Enbart ranking KL SL herr,2014-01-27,KSL,104.85,230.0,162.5,282.5,675.0,403.55,Per Skommar,Borlänge AK,Södra Norrlands SDF,M,2014.0,105,False
Elitserien klassisk SL,2013-11-09,KSL,103.37,240.5,162.5,280.5,683.5,410.73,Per Skommar,Borlänge AK,Södra Norrlands SDF,M,2013.0,105,False
SM Klassisk Bänkpress,2013-07-04,KBP,104.1,0.0,160.0,0.0,160.0,95.9,Per Skommar,Borlänge AK,Södra Norrlands SDF,M,2013.0,105,True
Elitserien klassisk BP,2013-05-07,KBP,104.35,0.0,170.0,0.0,170.0,101.81,Per Skommar,Borlänge AK,Södra Norrlands SDF,M,2013.0,105,False
Klassisk serie SL norr,2012-11-12,KSL,101.6,232.5,162.5,250.0,645.0,390.11,Per Skommar,Borlänge AK,Södra Norrlands SDF,M,2012.0,105,False
Klassisk serie SL norr,2012-09-03,KSL,102.64,220.0,150.0,260.0,630.0,379.57,Per Skommar,Borlänge AK,Södra Norrlands SDF,M,2012.0,105,False
Juniorserien SL,2012-09-09,SL,71.3,135.0,90.0,170.0,395.0,291.92,Marcus Sjöstedt,Täby AK,Östra Svealands SDF,M,2012.0,74,False
Enbart ranking KL BP herr,2014-09-21,KBP,114.5,0.0,115.0,0.0,115.0,66.9,Ahmad Abdelhamid,Karlstads AK,Västra Svealands SDF,M,2014.0,120,False
Allsvenskan BP,2013-05-12,BP,110.85,,115.0,,,67.52,Ahmad Abdelhamid,Karlstads AK,Västra Svealands SDF,M,2013.0,120,False
Klassisk ranking BP,2012-10-20,KBP,110.1,0.0,110.0,0.0,110.0,64.72,Ahmad Abdelhamid,Karlstads AK,Västra Svealands SDF,M,2012.0,120,False
Klassisk ranking BP,2012-09-09,KBP,108.5,0.0,97.5,0.0,97.5,57.63,Ahmad Abdelhamid,Karlstads AK,Västra Svealands SDF,M,2012.0,120,False
Juniorserien SL,2012-09-08,SL,108.5,0.0,97.5,0.0,97.5,57.63,Ahmad Abdelhamid,Karlstads AK,Västra Svealands SDF,M,2012.0,120,False
DM KLBP Sydsvenska,2013-10-05,KBP,78.7,0.0,60.0,0.0,60.0,55.41,Stina Gunnarson,Lunds TK,Sydsvenska SDF,F,2013.0,84,False
Damserien klassisk BP,2013-05-11,KBP,79.25,0.0,65.0,0.0,65.0,59.79,Stina Gunnarson,Lunds TK,Sydsvenska SDF,F,2013.0,84,False
Damserien klassisk BP,2013-01-26,KBP,79.4,0.0,55.0,0.0,55.0,50.54,Stina Gunnarson,Lunds TK,Sydsvenska SDF,F,2013.0,84,False
Klassisk damserie BP,2012-10-24,KBP,82.0,0.0,62.5,0.0,62.5,56.43,Stina Gunnarson,Lunds TK,Sydsvenska SDF,F,2012.0,84,False
DM Bänkpress Sydsvenska,2012-10-21,BP,82.0,,62.5,,,56.43,Stina Gunnarson,Lunds TK,Sydsvenska SDF,F,2012.0,84,False
Allsvenskan klassisk SL,2013-05-04,KSL,123.2,215.0,135.0,270.0,620.0,354.37,Daniel Jansson,Extreme Power Team,Östra Svealands SDF,M,2013.0,121,False
Klassisk serie SL mitt,2012-11-04,KSL,115.2,190.0,140.0,265.0,595.0,345.57,Daniel Jansson,Extreme Power Team,Östra Svealands SDF,M,2012.0,120,False
Elitserien dam KL SL,2014-11-09,KSL,56.65,95.0,65.0,132.5,292.5,341.06,Joanne Kadir,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2014.0,57,False
SM KLBP 2014,2014-07-06,KBP,56.42,0.0,67.5,0.0,67.5,78.96,Joanne Kadir,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2014.0,57,True
SM KLSL,2014-07-04,KSL,55.0,97.5,60.0,130.0,287.5,343.09,Joanne Kadir,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2014.0,57,True
Elitserien dam KL SL,2014-05-24,KSL,57.0,97.5,65.0,122.5,285.0,330.71,Joanne Kadir,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2014.0,63,False
Elitserien dam KL SL,2014-02-01,KSL,55.4,90.0,57.5,117.5,265.0,314.44,Joanne Kadir,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2014.0,57,False
DM KLSL Sydsvenska,2013-11-09,KSL,55.6,92.5,65.0,115.0,272.5,322.43,Joanne Kadir,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2013.0,57,False
DM BP Sydsvenska,2013-09-21,BP,55.55,,60.0,,,71.04,Joanne Kadir,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2013.0,57,False
SM Klassisk Bänkpress,2013-07-04,KBP,55.4,0.0,62.5,0.0,62.5,74.16,Joanne Kadir,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2013.0,57,True
Damserien klassisk BP,2013-05-11,KBP,54.75,0.0,55.0,0.0,55.0,65.87,Joanne Kadir,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2013.0,57,False
Damserien klassisk BP,2013-01-26,KBP,52.5,0.0,45.0,0.0,45.0,55.68,Joanne Kadir,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2013.0,57,False
DM Klassisk BP Sydsvenska,2012-09-29,KBP,54.4,0.0,47.5,0.0,47.5,57.17,Joanne Kadir,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2012.0,57,False
Klassisk damserie BP,2012-09-08,KBP,54.1,0.0,50.0,0.0,50.0,60.44,Joanne Kadir,Stockholmspolisens IF Kraftsportförening,Östra Svealands SDF,F,2012.0,57,False
SM-veckan Sundsvall 2015 (klassisk bänkpress),2015-07-02,KBP,61.96,0.0,77.5,0.0,77.5,84.29,Desiree Ohlsson,TK Trossö,Sydsvenska SDF,F,2015.0,63,True
Lag-SM 2014 - klassisk bänkpress,2014-12-07,KBP,63.25,0.0,75.0,0.0,75.0,80.31,Desiree Ohlsson,TK Trossö,Sydsvenska SDF,F,2014.0,69,True
Elitserien dam KL BP,2014-09-25,KBP,62.1,0.0,77.5,0.0,77.5,84.15,Desiree Ohlsson,TK Trossö,Sydsvenska SDF,F,2014.0,63,False
SM KLBP 2014,2014-07-06,KBP,62.23,0.0,80.0,0.0,80.0,86.72,Desiree Ohlsson,TK Trossö,Sydsvenska SDF,F,2014.0,63,True
Andralagsserien dam KL SL,2014-01-25,KSL,64.5,0.0,77.5,0.0,77.5,81.77,Desiree Ohlsson,TK Trossö,Sydsvenska SDF,F,2014.0,69,False
Elitserien dam KL BP,2014-01-24,KBP,64.5,0.0,77.5,0.0,77.5,81.77,Desiree Ohlsson,TK Trossö,Sydsvenska SDF,F,2014.0,69,False
KM KLBP TK Trossö,2013-12-27,KBP,64.9,0.0,80.5,0.0,80.5,84.55,Desiree Ohlsson,TK Trossö,Sydsvenska SDF,F,2013.0,69,False
DM BP Sydsvenska,2013-09-21,BP,62.45,,75.0,,,81.08,Desiree Ohlsson,TK Trossö,Sydsvenska SDF,F,2013.0,63,False
DM Klassisk BP Sydsvenska,2012-09-29,KBP,69.1,0.0,75.0,0.0,75.0,75.29,Desiree Ohlsson,TK Trossö,Sydsvenska SDF,F,2012.0,76,False
Juniorserien BP,2015-02-07,BP,73.7,,135.0,,,97.39,Marcus Olsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2015.0,74,False
U/J/V SM Bänkpress,2014-11-21,BP,72.7,,130.0,,,94.71,Marcus Olsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,74,True
DM i Styrkelyft(utrustnin) Mellersta Norrlands SDF,2014-11-08,SL,74.0,105.0,141.0,145.0,391.0,281.25,Marcus Olsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,83,False
Ungdomsserien BP,2014-09-22,BP,73.6,,135.5,,,97.84,Marcus Olsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,74,False
Ungdomsserien BP,2014-05-26,BP,73.35,,120.0,,,86.86,Marcus Olsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,74,False
Norrlandsmästerskapen SL,2014-05-17,SL,73.35,100.0,120.0,140.0,360.0,260.59,Marcus Olsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,74,False
SM Styrkelyft U/J/V,2014-03-14,SL,72.95,100.0,120.0,150.0,370.0,268.89,Marcus Olsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,74,True
SM Bänkpress U/J/V 2013,2013-11-23,BP,71.2,,110.0,,,81.38,Marcus Olsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,74,True
DM SL Mellersta Norrland 2013,2013-11-02,SL,71.62,85.0,115.0,140.0,340.0,250.44,Marcus Olsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,74,False
DM BP Mellersta Norrland,2013-09-28,BP,72.95,,85.0,,,61.77,Marcus Olsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,74,False
Ungdomsserien BP,2013-01-27,BP,71.8,,90.0,,,66.17,Marcus Olsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,74,False
SM Bänkpress,2012-11-23,BP,72.95,,90.0,,,65.4,Marcus Olsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2012.0,74,True
DM KLBP Mellersta Norrland,2012-10-13,KBP,72.76,0.0,85.0,0.0,85.0,61.89,Marcus Olsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2012.0,74,False
Veteranserien div 1 BP,2016-05-22,BP,81.5,,150.0,,,101.23,Marcus Olsson,Sundsvalls AK,Mellersta Norrlands SDF,M,2016.0,83,False
Veteranserien SL,2016-05-21,SL,81.5,180.0,150.0,217.5,547.5,369.49,Marcus Olsson,Sundsvalls AK,Mellersta Norrlands SDF,M,2016.0,83,False
U/J/V SM Styrkelyft (klassiskt),2016-05-05,KSL,81.5,180.0,150.0,217.5,547.5,369.49,Marcus Olsson,Sundsvalls AK,Mellersta Norrlands SDF,M,2016.0,83,True
SM Bänkpress,2012-11-23,BP,43.65,,35.0,,,41.86,Emil Lindholm,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2012.0,66,True
DM KLBP Mellersta Norrland,2012-10-13,KBP,42.51,0.0,32.5,0.0,32.5,40.16,Emil Lindholm,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2012.0,66,False
VM Bänkpress (Sundsvall),2015-05-20,BP,118.44,,200.0,,,115.34,Adde  Falquist,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2015.0,120,True
Juniorserien BP,2015-05-08,BP,119.3,,200.0,,,115.14,Adde  Falquist,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2015.0,120,False
Norrlandsmästerskapen BP (utrustning),2015-03-22,BP,120.25,,205.0,,,117.8,Adde  Falquist,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2015.0,121,False
Juniorserien BP,2015-02-07,BP,120.7,,210.0,,,120.57,Adde  Falquist,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2015.0,121,False
U/J/V SM Bänkpress,2014-11-21,BP,117.2,,200.0,,,115.64,Adde  Falquist,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,120,True
Ungdomsserien BP,2014-09-22,BP,114.1,,180.0,,,104.81,Adde  Falquist,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,120,False
SM Bänkpress U/J/V 2013,2013-11-23,BP,123.3,,177.5,,,101.44,Adde  Falquist,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,121,True
Ungdomsserien SL,2013-11-04,SL,121.21,130.0,172.5,215.0,517.5,296.84,Adde  Falquist,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,121,False
Ungdomsserien SL,2013-05-07,SL,119.8,130.0,161.5,210.0,501.5,288.44,Adde  Falquist,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,120,False
Norrlandsmästerskapen BP 2013,2013-05-03,BP,122.4,,150.0,,,85.86,Adde  Falquist,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,121,False
U/J/V-SM Styrkelyft 2013,2013-03-01,SL,111.15,117.5,155.0,192.5,465.0,272.79,Adde  Falquist,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,120,True
Ungdomsserien BP,2013-01-27,BP,117.2,,112.5,,,65.05,Adde  Falquist,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,120,False
SM Bänkpress,2012-11-23,BP,116.05,,110.0,,,63.76,Adde  Falquist,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2012.0,120,True
DM KLSL Mellersta Norrland,2012-11-11,KSL,115.57,125.0,112.5,192.5,430.0,249.52,Adde  Falquist,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2012.0,120,False
DM KLBP Mellersta Norrland,2012-10-13,KBP,113.63,0.0,107.5,0.0,107.5,62.67,Adde  Falquist,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2012.0,120,False
Allsvenskan BP,2016-02-07,BP,120.62,,190.0,,,109.11,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2016.0,121,False
U/J/V SM Bänkpress (utrustning),2015-11-28,BP,121.95,,285.0,,,163.26,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2015.0,121,True
SM-veckan Sundsvall 2015 (klassisk bänkpress),2015-07-02,KBP,124.1,0.0,187.5,0.0,187.5,107.0,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2015.0,121,True
VM Bänkpress (Sundsvall),2015-05-20,BP,121.7,,295.0,,,169.06,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2015.0,121,True
Div 1 BP,2015-05-17,BP,123.1,,290.0,,,165.78,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2015.0,121,False
Norrlandsmästerskapen BP (utrustning),2015-03-22,BP,120.05,,310.0,,,178.21,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2015.0,121,False
Div 1 BP,2015-02-07,BP,121.35,,192.5,,,110.39,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2015.0,121,False
DM i Styrkelyft (klassisk) Mellersta Norrlands SDF,2014-11-08,KSL,120.8,65.0,193.0,90.0,348.0,199.77,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,121,False
Div 1 BP,2014-09-22,BP,118.9,,275.0,,,158.45,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,120,False
DM i bänkpress (utrustning)Mellersta Norrlands SDF,2014-09-20,BP,120.6,,170.0,,,97.62,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,121,False
NM BP - Island,2014-08-23,BP,119.5,,300.0,,,172.64,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,120,True
NM SL - Island,2014-08-22,SL,119.45,175.0,290.0,210.0,675.0,388.49,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,120,True
SM KLBP 2014,2014-07-06,KBP,119.38,0.0,192.5,0.0,192.5,110.81,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,120,True
SM Styrkelyft U/J/V,2014-03-14,SL,121.05,170.0,255.0,220.5,645.5,370.37,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,121,True
U/J-NM SL,2014-02-22,SL,117.85,170.0,255.0,200.0,625.0,360.88,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,120,True
Juniorserien BP,2014-02-02,BP,118.1,,242.5,,,139.95,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2014.0,120,False
SM Bänkpress U/J/V 2013,2013-11-23,BP,117.55,,252.5,,,145.89,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,120,True
Ungdomsserien SL,2013-11-04,SL,115.05,130.0,257.5,215.0,602.5,350.04,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,120,False
Ungdomsserien BP,2013-09-29,BP,114.7,,220.0,,,127.92,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,120,False
Ungdomsserien BP,2013-05-07,BP,104.5,,220.0,,,131.68,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,105,False
Norrlandsmästerskapen SL 2013,2013-05-03,SL,104.25,120.0,222.5,150.0,492.5,295.04,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,105,False
U/J/V-SM Styrkelyft 2013,2013-03-01,SL,103.1,102.5,190.0,160.0,452.5,272.18,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,105,True
Allsvenskan klassisk BP,2013-01-27,KBP,105.1,0.0,142.5,0.0,142.5,85.12,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2013.0,120,False
SM Bänkpress,2012-11-23,BP,104.55,,145.0,,,86.78,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2012.0,105,True
DM KLSL Mellersta Norrland,2012-11-11,KSL,108.21,127.5,150.5,175.0,453.0,267.96,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2012.0,120,False
DM KLBP Mellersta Norrland,2012-10-13,KBP,107.42,0.0,147.5,0.0,147.5,87.46,Calle Nilsson,Hassela Powerteam förening,Mellersta Norrlands SDF,M,2012.0,120,False
DM Klassisk BP Sydsvenska,2012-09-29,KBP,90.8,0.0,100.0,0.0,100.0,63.56,tommy hansen,Ystads KK,Sydsvenska SDF,M,2012.0,93,False
Allsvenskan Dam BP klassisk,2022-05-17,KBP,54.75,0.0,60.0,0.0,60.0,71.86,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2022.0,57,False
Allsvenskan Dam SL klassisk,2022-05-14,KSL,54.75,105.0,60.0,110.0,275.0,329.34,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2022.0,57,False
Elitserien dam BP utrustat,2020-01-29,BP,49.0,,82.5,,,107.61,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2020.0,52,False
Lag SM Bänkpress (Utr),2019-12-14,BP,48.58,,87.5,,,114.86,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2019.0,52,True
Allsvenskan dam KL BP,2019-11-17,KBP,48.6,0.0,60.0,0.0,60.0,78.74,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2019.0,52,False
Elitserien dam BP,2019-11-13,BP,48.7,,82.5,,,108.1,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2019.0,52,False
Elitserien dam BP,2019-09-15,BP,49.15,,85.0,,,110.61,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2019.0,52,False
SM Klassisk Styrkelyft,2019-06-27,KSL,46.35,100.0,55.0,115.0,270.0,366.76,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2019.0,47,True
Enbart ranking dam SL,2019-05-06,SL,46.57,130.0,87.5,132.5,350.0,473.83,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2019.0,47,False
Allsvenskan dam KL BP,2019-02-17,KBP,49.95,0.0,60.0,0.0,60.0,77.14,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2019.0,52,False
Elitserien dam BP,2019-02-14,BP,49.95,,92.5,,,118.92,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2019.0,52,False
DM KL SL VGSF,2018-11-16,KSL,47.95,70.0,52.5,70.0,192.5,255.15,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2018.0,52,False
VM Styrkelyft,2018-11-05,SL,46.45,0.0,92.5,130.0,222.5,301.78,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2018.0,47,True
Elitserien dam KL SL,2018-09-16,KSL,49.6,107.5,62.5,127.5,297.5,384.51,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2018.0,52,False
SM i Klassisk Styrkelyft 2018,2018-07-05,KSL,46.35,107.5,60.0,120.0,287.5,390.54,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2018.0,47,True
Elitserien dam KL SL,2018-05-21,KSL,48.4,105.0,60.0,120.0,285.0,375.16,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2018.0,52,False
EM Styrkelyft U/J/S 2018,2018-05-07,SL,46.57,130.0,82.5,135.0,347.5,470.45,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2018.0,47,True
Elitserien dam KL SL,2018-02-25,KSL,47.65,105.0,60.0,125.0,290.0,386.15,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2018.0,52,False
u/j/v-SM Bänkpress 2017,2017-12-10,BP,47.8,,75.0,,,99.64,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2017.0,52,True
u/j/v-SM Styrkelyft 2017,2017-12-08,SL,46.75,130.0,77.5,132.5,340.0,459.02,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2017.0,47,True
Elitserien dam KL SL,2017-11-19,KSL,48.55,105.0,60.0,120.0,285.0,374.3,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2017.0,52,False
Elitserien dam KL SL,2017-09-17,KSL,46.36,95.0,60.0,122.5,277.5,376.89,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2017.0,47,False
u/j-NM 2017 (kl. styrkelyft),2017-09-14,KSL,46.37,95.0,60.0,122.5,277.5,376.84,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2017.0,47,True
SM-veckan Borås (Klassisk styrkelyft),2017-07-05,KSL,46.4,102.5,60.0,120.0,282.5,383.45,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2017.0,47,True
Elitserien dam KL SL,2017-05-21,KSL,46.55,101.0,60.0,120.0,281.0,380.54,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2017.0,47,False
DM i bänkpress Utrustning Västra Götaland,2017-05-13,BP,49.2,,80.0,,,104.03,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2017.0,52,False
Elitserien dam KL BP,2017-03-05,KBP,49.65,0.0,60.0,0.0,60.0,77.49,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2017.0,52,False
u/j/v-SM Bänkpress (utrustning),2016-11-25,BP,46.45,,72.5,,,98.33,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2016.0,47,True
Elitserien dam KL SL,2016-11-13,KSL,46.95,95.0,52.5,115.0,262.5,353.31,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2016.0,47,False
Elitserien dam KL BP,2016-09-25,KBP,47.0,0.0,57.5,0.0,57.5,77.33,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2016.0,52,False
SM-veckan Norrköping (Klassisk Styrkelyft),2016-07-09,KSL,45.9,92.5,57.5,115.0,265.0,362.47,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2016.0,47,True
Enbart ranking BP dam,2016-05-22,BP,46.38,,75.0,,,101.83,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2016.0,47,False
U/J/V SM Styrkelyft (klassiskt),2016-05-06,KSL,45.8,90.0,52.5,115.0,257.5,352.75,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2016.0,47,True
Götalandsmästerskapen (KLBP),2016-04-01,KBP,45.73,0.0,50.0,0.0,50.0,68.57,Malin Carlsson,Vedum AIS,Västra Götaland SDF,F,2016.0,47,False
